Device Name;Region;Type;Famille;Produit;Edition;Version
Device 383;EMEA;Desktop;Office;Office;Standard;2013
Device 384;EMEA;Desktop;Office;Office;Standard;2013
Device 385;EMEA;Desktop;Office;Office;Standard;2013
Device 385;EMEA;Desktop;Office;Project;Standard;2013
Device 386;EMEA;Desktop;Office;Office;Standard;2013
Device 387;EMEA;Desktop;Office;Office;Standard;2013
Device 388;EMEA;Desktop;Office;Office;Standard;2013
Device 389;EMEA;Desktop;Office;Office;Standard;2013
Device 390;EMEA;Desktop;Office;Office;Standard;2013
Device 391;EMEA;Desktop;Office;Visio;Standard;2013
Device 391;EMEA;Desktop;Office;Office;Standard;2013
Device 392;EMEA;Desktop;Office;Office;Standard;2013
